Recombinations
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 160, at = 8, to = 24)], startingpoint = 8, pathevaluation = 0.9999999998700548)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 140, at = 45, to = 74)], startingpoint = 45, pathevaluation = 0.9999999999969829)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 135, at = 16, to = 18)], startingpoint = 16, pathevaluation = 0.9997600298716187)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 87, at = 55, to = 1)], startingpoint = 55, pathevaluation = 0.9999999003415035)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[], startingpoint = 66, pathevaluation = 0.0)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 31, at = 36, to = 59)], startingpoint = 36, pathevaluation = 0.49999406767767396)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 168, at = 8, to = 28)], startingpoint = 8, pathevaluation = 0.9999999999997217)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 135, at = 64, to = 2), (position = 90, at = 65, to = 64)], startingpoint = 65, pathevaluation = 0.999999838876502)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[], startingpoint = 13, pathevaluation = 0.0)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 155, at = 22, to = 44)], startingpoint = 22, pathevaluation = 0.999999014318513)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[], startingpoint = 44, pathevaluation = 0.0)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 133, at = 11, to = 56)], startingpoint = 11, pathevaluation = 0.49999999999967376)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 186, at = 30, to = 1)], startingpoint = 30, pathevaluation = 0.9999999999950215)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 159, at = 76, to = 42)], startingpoint = 76, pathevaluation = 0.9999999999982382)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 102, at = 51, to = 76)], startingpoint = 51, pathevaluation = 0.9999999999967144)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 103, at = 1, to = 65)], startingpoint = 1, pathevaluation = 0.9999999999890264)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 181, at = 31, to = 49)], startingpoint = 31, pathevaluation = 0.9999995144782903)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[], startingpoint = 16, pathevaluation = 0.0)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 152, at = 56, to = 71)], startingpoint = 56, pathevaluation = 0.9999999998235087)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[], startingpoint = 13, pathevaluation = 0.0)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[], startingpoint = 13, pathevaluation = 0.0)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 174, at = 42, to = 10)], startingpoint = 42, pathevaluation = 0.999999999976062)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 165, at = 3, to = 36)], startingpoint = 3, pathevaluation = 0.32885611470531195)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 190, at = 7, to = 29)], startingpoint = 7, pathevaluation = 0.19999841172309607)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 199, at = 71, to = 41)], startingpoint = 71, pathevaluation = 0.9999999950677474)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 160, at = 12, to = 65)], startingpoint = 12, pathevaluation = 0.9999890386200156)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[], startingpoint = 20, pathevaluation = 0.0)"
"(recombinations = @NamedTuple{position::Int64, at::Int64, to::Int64}[(position = 72, at = 38, to = 50)], startingpoint = 38, pathevaluation = 0.5271932044463611)"
